Name,Time,Lat,Longt,Alt,AirTemp,DewPoint,Precip,Pressure,RelativeHumidity,WindDirection,WindGust,WindSpeed,Visibility
3CLO3_2005_8_29.n3,18:05:00,46.22,-124.00,20,N/A,N/A,N/A,N/A,N/A,170.0,N/A,7.0,N/A
3CLO3_2005_8_29.n3,18:20:00,46.22,-124.00,20,N/A,N/A,N/A,N/A,N/A,180.0,N/A,8.0,N/A
3CLO3_2005_8_29.n3,18:35:00,46.22,-124.00,20,N/A,N/A,N/A,N/A,N/A,170.0,N/A,8.0,N/A
3CLO3_2005_8_29.n3,18:50:00,46.22,-124.00,20,N/A,N/A,N/A,N/A,N/A,180.0,N/A,7.0,N/A
4UT01_2005_8_29.n3,18:00:00,40.82944,-111.88222,5350,83.5,35.5,0.0,N/A,18.0,270.0,9.0,6.0,N/A
4UT01_2005_8_29.n3,18:05:00,40.82944,-111.88222,5350,83.4,38.1,0.0,N/A,20.0,270.0,8.0,5.0,N/A
4UT01_2005_8_29.n3,18:10:00,40.82944,-111.88222,5350,83.5,38.2,0.0,N/A,20.0,315.0,8.0,5.0,N/A
4UT01_2005_8_29.n3,18:15:00,40.82944,-111.88222,5350,83.4,38.1,0.0,N/A,20.0,292.0,8.0,4.0,N/A
4UT01_2005_8_29.n3,18:20:00,40.82944,-111.88222,5350,83.4,38.1,0.0,N/A,20.0,292.0,9.0,5.0,N/A
4UT01_2005_8_29.n3,18:25:00,40.82944,-111.88222,5350,83.4,39.3,0.0,N/A,21.0,292.0,9.0,3.0,N/A
4UT01_2005_8_29.n3,18:30:00,40.82944,-111.88222,5350,83.4,36.8,0.0,N/A,19.0,292.0,8.0,2.0,N/A
4UT01_2005_8_29.n3,18:35:00,40.82944,-111.88222,5350,83.4,40.5,0.0,N/A,22.0,270.0,9.0,4.0,N/A
4UT01_2005_8_29.n3,18:40:00,40.82944,-111.88222,5350,83.4,38.1,0.0,N/A,20.0,292.0,6.0,2.0,N/A
4UT01_2005_8_29.n3,18:45:00,40.82944,-111.88222,5350,83.3,36.7,0.0,N/A,19.0,292.0,8.0,4.0,N/A
4UT01_2005_8_29.n3,18:50:00,40.82944,-111.88222,5350,83.2,36.6,0.0,N/A,19.0,292.0,8.0,3.0,N/A
4UT01_2005_8_29.n3,18:55:00,40.82944,-111.88222,5350,83.1,36.6,0.0,N/A,19.0,315.0,8.0,3.0,N/A
690_2005_8_29.n3,18:00:00,43.53260,-112.94775,4950,88.1,14.6,0.0,25.04,6.0,240.0,17.0,12.0,N/A
690_2005_8_29.n3,18:05:00,43.53260,-112.94775,4950,87.9,15.0,0.0,25.04,7.0,256.0,16.0,11.0,N/A
690_2005_8_29.n3,18:10:00,43.53260,-112.94775,4950,88.4,15.0,0.0,25.04,7.0,230.0,21.0,16.0,N/A
690_2005_8_29.n3,18:15:00,43.53260,-112.94775,4950,88.2,14.6,0.0,25.04,6.0,239.0,19.0,13.0,N/A
690_2005_8_29.n3,18:20:00,43.53260,-112.94775,4950,87.9,14.8,0.0,25.04,7.0,247.0,17.0,11.0,N/A
690_2005_8_29.n3,18:25:00,43.53260,-112.94775,4950,87.7,16.4,0.0,25.04,7.0,241.0,17.0,14.0,N/A
690_2005_8_29.n3,18:30:00,43.53260,-112.94775,4950,87.5,17.4,0.0,25.04,7.0,244.0,21.0,12.0,N/A
690_2005_8_29.n3,18:35:00,43.53260,-112.94775,4950,87.5,18.2,0.0,25.04,8.0,250.0,20.0,16.0,N/A
690_2005_8_29.n3,18:40:00,43.53260,-112.94775,4950,87.2,18.3,0.0,25.04,8.0,230.0,21.0,16.0,N/A
690_2005_8_29.n3,18:45:00,43.53260,-112.94775,4950,86.9,17.5,0.0,25.04,8.0,234.0,20.0,16.0,N/A
690_2005_8_29.n3,18:50:00,43.53260,-112.94775,4950,86.8,17.7,0.0,25.04,8.0,229.0,17.0,13.0,N/A
690_2005_8_29.n3,18:55:00,43.53260,-112.94775,4950,86.1,19.8,0.0,25.03,9.0,222.0,21.0,14.0,N/A
A01_2005_8_29.n3,18:00:00,37.0339,-116.0989,4149,97.0,-18.8,0.0,N/A,1.0,203.0,2.0,1.0,N/A
A01_2005_8_29.n3,18:15:00,37.0339,-116.0989,4149,97.0,-18.8,0.0,N/A,1.0,209.0,1.0,1.0,N/A
A01_2005_8_29.n3,18:30:00,37.0339,-116.0989,4149,96.0,0.0,0.0,N/A,0.0,188.0,2.0,1.0,N/A
A01_2005_8_29.n3,18:45:00,37.0339,-116.0989,4149,94.0,-20.6,0.0,N/A,1.0,205.0,2.0,1.0,N/A
A02_2005_8_29.n3,18:00:00,37.1428,-116.1117,4435,97.0,-5.0,0.0,25.52,2.0,215.0,1.0,1.0,N/A
A02_2005_8_29.n3,18:15:00,37.1428,-116.1117,4435,96.0,-19.4,0.0,25.52,1.0,203.0,1.0,1.0,N/A
A02_2005_8_29.n3,18:30:00,37.1428,-116.1117,4435,95.0,47.6,0.0,25.52,20.0,216.0,1.0,1.0,N/A
A02_2005_8_29.n3,18:45:00,37.1428,-116.1117,4435,94.0,40.9,0.0,25.51,16.0,200.0,1.0,1.0,N/A
A03_2005_8_29.n3,18:00:00,37.05183,-115.99650,4130,98.0,0.0,0.0,N/A,0.0,221.0,17.0,12.0,N/A
A03_2005_8_29.n3,18:15:00,37.05183,-115.99650,4130,97.0,0.0,0.0,N/A,0.0,224.0,13.0,8.0,N/A
A03_2005_8_29.n3,18:30:00,37.05183,-115.99650,4130,96.0,0.0,0.0,N/A,0.0,217.0,13.0,9.0,N/A
A03_2005_8_29.n3,18:45:00,37.05183,-115.99650,4130,95.0,0.0,0.0,N/A,0.0,242.0,15.0,8.0,N/A
A04_2005_8_29.n3,18:00:00,37.1006,-116.1231,4418,95.0,-20.0,N/A,N/A,1.0,207.0,20.0,12.0,N/A
